iter	Passed	Remaining
446	1173	2501
447	1175	2498
448	1178	2495
449	1180	2492
450	1183	2489
451	1185	2487
452	1188	2484
453	1190	2481
454	1193	2478
455	1196	2476
456	1198	2472
457	1201	2470
458	1203	2467
459	1206	2464
460	1208	2462
461	1211	2459
462	1213	2456
463	1216	2453
464	1219	2451
465	1221	2448
466	1224	2446
467	1227	2443
468	1229	2441
469	1232	2438
470	1235	2436
471	1237	2433
472	1239	2429
473	1242	2427
474	1245	2424
475	1247	2421
476	1250	2419
477	1252	2416
478	1255	2413
479	1257	2410
480	1260	2407
481	1262	2404
482	1265	2401
483	1267	2398
484	1270	2396
485	1272	2393
486	1275	2390
487	1277	2387
488	1280	2385
489	1283	2382
490	1285	2380
491	1287	2376
492	1290	2374
493	1292	2370
494	1295	2368
495	1298	2366
496	1300	2363
497	1303	2361
498	1306	2358
499	1308	2355
500	1310	2352
501	1313	2349
502	1315	2346
503	1318	2344
504	1321	2341
505	1323	2338
506	1326	2335
507	1328	2333
508	1331	2330
509	1333	2327
510	1336	2324
511	1338	2322
512	1341	2319
513	1344	2317
514	1347	2314
515	1349	2312
516	1353	2311
517	1355	2308
518	1357	2305
519	1360	2302
520	1362	2299
521	1365	2296
522	1367	2293
523	1370	2290
524	1373	2288
525	1377	2288
526	1379	2285
527	1382	2283
528	1384	2280
529	1387	2277
530	1390	2275
531	1392	2272
532	1395	2270
533	1398	2267
534	1400	2265
535	1404	2263
536	1406	2260
537	1408	2257
538	1411	2254
539	1414	2253
540	1418	2251
541	1420	2249
542	1423	2246
543	1426	2244
544	1429	2241
545	1431	2238
546	1433	2235
547	1436	2232
548	1438	2230
549	1441	2228
550	1444	2225
551	1447	2222
552	1449	2220
553	1452	2217
554	1454	2214
555	1457	2211
556	1459	2208
557	1462	2207
558	1465	2204
559	1468	2202
560	1470	2199
561	1473	2196
562	1475	2193
563	1478	2191
564	1480	2188
565	1483	2185
566	1485	2182
567	1488	2180
568	1490	2177
569	1493	2174
570	1496	2172
571	1498	2169
572	1501	2167
573	1504	2164
574	1507	2162
575	1509	2159
576	1512	2157
577	1514	2154
578	1517	2151
579	1520	2149
580	1523	2147
581	1525	2144
582	1528	2141
583	1531	2139
584	1533	2136
585	1536	2133
586	1538	2131
587	1541	2129
588	1544	2126
589	1547	2124
590	1549	2121
591	1552	2118
592	1554	2115
593	1557	2113
594	1559	2110
595	1562	2108
596	1565	2105
597	1567	2102
598	1570	2099
599	1572	2096
600	1575	2094
601	1577	2091
602	1580	2088
603	1582	2085
604	1585	2083
605	1587	2080
606	1590	2077
607	1593	2075
608	1595	2072
609	1598	2069
610	1600	2067
611	1603	2064
612	1606	2062
613	1608	2059
614	1611	2056
615	1613	2054
616	1616	2051
617	1619	2048
618	1621	2046
619	1624	2043
620	1626	2040
621	1629	2038
622	1632	2035
623	1634	2033
624	1637	2030
625	1639	2027
626	1642	2024
627	1645	2022
628	1647	2019
629	1649	2016
630	1652	2013
631	1654	2010
632	1657	2008
633	1660	2005
634	1662	2002
635	1664	1999
636	1667	1996
637	1669	1994
638	1672	1991
639	1675	1989
640	1678	1987
641	1681	1984
642	1684	1982
643	1686	1979
644	1689	1977
645	1691	1974
646	1694	1972
647	1697	1969
648	1699	1967
649	1702	1964
650	1704	1961
651	1707	1958
652	1709	1955
653	1712	1953
654	1714	1950
655	1717	1947
656	1720	1945
657	1722	1942
658	1725	1939
659	1727	1937
660	1730	1934
661	1732	1931
662	1735	1929
663	1737	1926
664	1740	1923
665	1743	1922
666	1746	1919
667	1749	1916
668	1753	1915
669	1755	1912
670	1758	1910
671	1760	1907
672	1763	1904
673	1766	1902
674	1768	1899
675	1771	1897
676	1774	1894
677	1776	1891
678	1779	1889
679	1781	1886
680	1784	1883
681	1786	1881
682	1789	1878
683	1791	1875
684	1794	1872
685	1796	1870
686	1799	1867
687	1801	1864
688	1804	1862
689	1807	1860
690	1810	1857
691	1812	1854
692	1815	1852
693	1818	1849
694	1820	1846
695	1823	1844
696	1826	1841
697	1828	1839
