iter	Accuracy	Logloss
136	0.8032900035	0.4237560187
137	0.8032900035	0.4233467095
138	0.8029448982	0.4229898202
139	0.8030599333	0.4225912275
140	0.8036351087	0.42225629
141	0.8038651789	0.4218643135
142	0.8036351087	0.4216047072
143	0.8031749684	0.4209914475
144	0.8035200736	0.4206709021
145	0.8037501438	0.4203882787
146	0.803980214	0.4202851639
147	0.8044403543	0.4199271357
148	0.8040952491	0.4192087557
149	0.803980214	0.4188485634
150	0.8044403543	0.4185431239
151	0.8044403543	0.4182276638
152	0.8047854596	0.4178445108
153	0.8047854596	0.4172712
154	0.8050155297	0.4170645646
155	0.8049004947	0.4167389215
156	0.8051305648	0.4163641443
157	0.8051305648	0.4160719672
158	0.8051305648	0.4158102497
159	0.8052455999	0.4155343167
160	0.8049004947	0.4153799661
161	0.8051305648	0.4151971952
162	0.8054756701	0.4149626998
163	0.805360635	0.4147993247
164	0.8060508455	0.4141599022
165	0.8060508455	0.413903797
166	0.8058207753	0.4135858692
167	0.8065109859	0.4132622798
168	0.8070861613	0.4128914666
169	0.8070861613	0.4122617745
170	0.8074312665	0.4119343915
171	0.8073162315	0.4116601343
172	0.8073162315	0.4114857287
173	0.8074312665	0.4112653297
174	0.8081214771	0.4109434244
175	0.808006442	0.4106755513
176	0.808006442	0.4102344753
177	0.8077763718	0.40999657
178	0.808006442	0.4097880167
179	0.808006442	0.4095427341
180	0.8083515472	0.409067546
181	0.8082365121	0.4088519003
182	0.8084665823	0.4086305606
183	0.8083515472	0.4083954898
184	0.8084665823	0.4081630483
185	0.808006442	0.4079845281
186	0.8078914069	0.407368848
187	0.8076613367	0.4069541618
188	0.8081214771	0.4067668619
189	0.8083515472	0.4062506734
190	0.8085816174	0.4060156693
191	0.8088116876	0.4057031007
192	0.8089267227	0.4054789534
193	0.8088116876	0.4052793601
194	0.8086966525	0.4050305102
195	0.8088116876	0.4047118719
196	0.8091567928	0.4045544763
197	0.8092718279	0.4043113988
198	0.8095018981	0.4040058408
199	0.8092718279	0.4037779336
200	0.809386863	0.4034978948
201	0.8095018981	0.4032302803
202	0.8096169332	0.4030061128
203	0.8096169332	0.4028651443
204	0.8100770735	0.4023366373
205	0.8100770735	0.4021612974
206	0.8103071437	0.4015569286
207	0.8103071437	0.4014117633
208	0.8103071437	0.401135603
209	0.8105372139	0.4009160088
210	0.8105372139	0.4007252156
211	0.8106522489	0.4005619363
212	0.8108823191	0.4004137071
213	0.8108823191	0.3999597392
214	0.8109973542	0.3998238781
215	0.8109973542	0.399353696
216	0.8112274244	0.3991248144
217	0.8111123893	0.3989838909
218	0.8109973542	0.3987959943
219	0.8109973542	0.3986474102
220	0.8111123893	0.3982776527
221	0.8118025998	0.3980020702
222	0.8115725296	0.3978108037
223	0.8116875647	0.3976463662
224	0.8119176349	0.3971474287
225	0.8121477051	0.3969634481
226	0.8123777752	0.3966592
227	0.8123777752	0.3965353001
228	0.8123777752	0.3963556721
229	0.8126078454	0.3962461149
230	0.8126078454	0.3960948398
231	0.8123777752	0.395910919
232	0.8124928103	0.39576828
233	0.8126078454	0.3952869924
234	0.8127228805	0.3949893563
235	0.8128379156	0.3947390447
236	0.8131830208	0.3945925631
237	0.8132980559	0.3944377512
238	0.8131830208	0.3942367017
239	0.8132980559	0.3939949613
240	0.813413091	0.3938253563
241	0.8135281261	0.3936615496
242	0.8137581962	0.3933484264
243	0.8136431612	0.3932563102
244	0.8136431612	0.3931513852
245	0.813413091	0.3929637078
246	0.8136431612	0.3927082836
247	0.8135281261	0.3925799345
248	0.8138732313	0.3924143092
249	0.8141033015	0.3922451233
250	0.8138732313	0.3921018604
251	0.8135281261	0.391882584
252	0.8137581962	0.3916467879
253	0.8137581962	0.3915477971
254	0.8138732313	0.3914856169
255	0.813413091	0.3913378765
256	0.8135281261	0.3911568255
257	0.8135281261	0.3910163823
258	0.8136431612	0.3907167724
259	0.8136431612	0.3904383175
260	0.8135281261	0.3903327217
261	0.8141033015	0.3901810726
262	0.8142183366	0.3900998409
263	0.8144484068	0.3898929954
264	0.8144484068	0.3898076514
265	0.8142183366	0.389664085
266	0.8143333717	0.3895120756
267	0.8144484068	0.3893989976
268	0.8141033015	0.3891755068
269	0.8144484068	0.3889825711
270	0.8143333717	0.3886076105
271	0.8145634418	0.3885057381
272	0.814793512	0.3882441082
273	0.8150235822	0.3881204439
274	0.8149085471	0.3878700681
275	0.814793512	0.387743923
276	0.8150235822	0.3873947292
277	0.8150235822	0.387252365
278	0.8157137927	0.3871015527
279	0.8155987576	0.3870031574
280	0.8153686874	0.3868352689
281	0.8154837225	0.3866945101
282	0.8157137927	0.3866011113
283	0.8157137927	0.386525052
284	0.8158288278	0.3863857554
285	0.8158288278	0.3862816049
286	0.816058898	0.3861757481
287	0.816058898	0.3861064539
288	0.8155987576	0.3858225556
289	0.8157137927	0.3856780729
290	0.816173933	0.3855775739
291	0.816173933	0.3854379776
292	0.8166340734	0.3853271186
293	0.8165190383	0.385191239
294	0.8165190383	0.3851051765
295	0.8166340734	0.384983479
296	0.8168641436	0.3848978108
297	0.8164040032	0.3847767049
298	0.8164040032	0.3844780793
299	0.8165190383	0.3843365181
300	0.8167491085	0.3842352958
301	0.8165190383	0.3840381926
302	0.8175543541	0.3837206923
303	0.8172092488	0.3835605404
304	0.8175543541	0.3834467738
305	0.8175543541	0.3833197395
306	0.817439319	0.3832269358
307	0.8173242839	0.3830288307
308	0.8175543541	0.3829359665
309	0.8175543541	0.382770649
310	0.817439319	0.3826868764
311	0.8178994593	0.3824783589
312	0.8183595997	0.3823306823
313	0.8178994593	0.3821941366
314	0.8181295295	0.3819646525
315	0.8182445646	0.3818767643
316	0.8184746348	0.3815509632
317	0.8187047049	0.3814432641
318	0.81881974	0.3812996372
319	0.8189347751	0.3812014018
320	0.8189347751	0.3810773465
321	0.8191648453	0.3809658962
322	0.81881974	0.380810859
323	0.8185896698	0.3806058284
324	0.8190498102	0.3804599293
325	0.8189347751	0.3802857744
326	0.8189347751	0.380044073
327	0.8190498102	0.3798157577
328	0.8191648453	0.3796988928
329	0.8192798804	0.3795079496
330	0.8190498102	0.3793623277
331	0.8191648453	0.3792203972
332	0.8193949154	0.379137792
333	0.8193949154	0.3789907056
334	0.8193949154	0.3788918412
335	0.8193949154	0.3787969881
336	0.8193949154	0.3787149911
337	0.8196249856	0.3786139329
338	0.8203151961	0.3784749408
339	0.8204302312	0.3783204703
340	0.8199700909	0.3782160764
341	0.8203151961	0.378071799
342	0.820200161	0.3778773535
343	0.820085126	0.3777825439
344	0.820085126	0.3777013581
345	0.8198550558	0.3775843565
346	0.820200161	0.3774233372
347	0.820200161	0.3773744541
348	0.8204302312	0.3772433182
349	0.8204302312	0.3771720094
350	0.8204302312	0.3770606806
351	0.8204302312	0.376896647
352	0.8203151961	0.3768402887
353	0.8205452663	0.3766691939
354	0.8206603014	0.3766109499
355	0.8206603014	0.3764649818
356	0.821465547	0.3760436923
357	0.8213505119	0.3759316096
358	0.821465547	0.375836267
359	0.821465547	0.3757801773
360	0.821465547	0.3756600758
361	0.8213505119	0.3755405295
362	0.8213505119	0.375471451
363	0.8218106522	0.3753371376
364	0.8219256873	0.3750116603
365	0.8218106522	0.3749353104
366	0.8220407224	0.3747764331
367	0.8220407224	0.3746925025
368	0.8223858277	0.3744910091
369	0.8227309329	0.3743727884
370	0.8226158978	0.3741003658
371	0.8229610031	0.3739779392
372	0.8231910733	0.3736886009
373	0.822845968	0.3735802529
374	0.8227309329	0.3734637218
375	0.822845968	0.3733381411
376	0.8230760382	0.3732332697
377	0.8235361785	0.3728834432
378	0.8235361785	0.3728097598
379	0.8236512136	0.3727164123
380	0.8236512136	0.3725151712
381	0.8238812838	0.3723908321
382	0.824111354	0.3722705192
383	0.824111354	0.3721733797
384	0.824111354	0.3720510428
385	0.8243414241	0.3719232936
386	0.824226389	0.3716195008
387	0.824226389	0.3714967473
388	0.8239963189	0.3713872537
389	0.8245714943	0.371171564
390	0.8245714943	0.3710748463
391	0.8248015645	0.3709673436
392	0.8248015645	0.3708917035
393	0.8250316346	0.3708110209
394	0.8252617048	0.370642486
395	0.8252617048	0.3705552231
396	0.8251466697	0.3704087778
397	0.8253767399	0.3703525045
398	0.825491775	0.3702112776
399	0.8257218452	0.3701120959
400	0.8259519153	0.3699416637
401	0.8257218452	0.3698660477
402	0.8259519153	0.3697636958
403	0.8259519153	0.3696692427
404	0.8257218452	0.3695018205
405	0.8258368802	0.3694086027
406	0.8253767399	0.3692304662
407	0.8260669504	0.3690436948
408	0.8258368802	0.3689503973
409	0.8259519153	0.3688761517
410	0.8262970206	0.3686228804
411	0.8266421258	0.3685275088
412	0.826872196	0.3684289876
413	0.8264120557	0.3683422885
414	0.8264120557	0.3681861882
415	0.8264120557	0.367979453
416	0.8265270908	0.367844439
417	0.8267571609	0.3676643404
418	0.8269872311	0.3675916709
419	0.8267571609	0.3674014237
420	0.8271022662	0.3673118055
421	0.8269872311	0.3671235228
422	0.8269872311	0.3670446857
423	0.826872196	0.3669136586
424	0.8269872311	0.3667973524
425	0.8269872311	0.3667195258
426	0.8271022662	0.3666221125
427	0.8271022662	0.366514818
428	0.8276774416	0.3664029947
429	0.8276774416	0.3662700793
430	0.8279075118	0.3661707575
431	0.8277924767	0.3660182293
432	0.8277924767	0.3658289222
433	0.828252617	0.36576471
434	0.828137582	0.3656997594
435	0.828137582	0.3656012217
436	0.828252617	0.3654335596
437	0.8280225469	0.3653417624
438	0.828137582	0.3652141752
439	0.8284826872	0.3650942581
440	0.8284826872	0.3649436998
441	0.8283676521	0.364811925
442	0.8283676521	0.3647656833
443	0.8285977223	0.364679994
444	0.8285977223	0.3645264857
445	0.8290578626	0.3642719975
446	0.8290578626	0.3639981296
447	0.8294029679	0.363899852
448	0.8294029679	0.3637151672
449	0.829518003	0.3635875647
450	0.8296330381	0.3634496337
451	0.829518003	0.3633840846
452	0.829518003	0.3632265732
453	0.8298631082	0.3631134822
454	0.8297480732	0.3629578243
455	0.8299781433	0.3628383061
456	0.8299781433	0.3627881475
457	0.8299781433	0.3626275579
458	0.8299781433	0.3625052488
459	0.8299781433	0.3623706819
460	0.8297480732	0.3622174734
461	0.8296330381	0.3621236838
462	0.829518003	0.3619989734
463	0.8297480732	0.3618561659
464	0.829518003	0.3617354713
465	0.8297480732	0.3615954236
466	0.8297480732	0.3615027818
467	0.8296330381	0.3614143833
468	0.8296330381	0.3612889245
469	0.8299781433	0.3611636374
470	0.8299781433	0.3610983507
471	0.8298631082	0.3609889101
472	0.8302082135	0.3608294091
473	0.8299781433	0.3606635862
474	0.8299781433	0.3605631546
475	0.8300931784	0.3604182304
476	0.8306683538	0.3603230949
477	0.8303232486	0.3602240283
478	0.8305533188	0.3601165755
479	0.8306683538	0.3599826332
480	0.8305533188	0.3598884382
481	0.8307833889	0.3598327973
482	0.8307833889	0.3597645861
483	0.8307833889	0.3596586655
484	0.8307833889	0.3595421145
485	0.8306683538	0.3594672188
486	0.8304382837	0.3593532003
487	0.8306683538	0.3592937175
488	0.830898424	0.3591784421
489	0.8310134591	0.3590987395
490	0.8311284942	0.3590148832
491	0.8312435293	0.3589096687
492	0.8310134591	0.3588328009
493	0.8311284942	0.3586947391
494	0.830898424	0.3585233714
495	0.8310134591	0.3583861745
496	0.8310134591	0.358329341
497	0.8315886345	0.3582166305
498	0.8317036696	0.3581351495
499	0.8320487749	0.3579946135
500	0.832278845	0.3578279327
501	0.832278845	0.3577359167
502	0.83216381	0.3576675514
503	0.83216381	0.3576041679
504	0.8323938801	0.3575460191
505	0.8325089152	0.3573497601
506	0.8323938801	0.3571818713
507	0.8325089152	0.3568822914
508	0.8326239503	0.3567730886
509	0.8327389854	0.3566086005
510	0.8326239503	0.3565143045
511	0.8327389854	0.3563909357
512	0.8328540205	0.3562531899
513	0.8329690556	0.3560475699
514	0.8329690556	0.355993806
515	0.8331991257	0.3558909935
516	0.8331991257	0.3558149046
517	0.8333141608	0.3557135024
518	0.8333141608	0.3555888202
519	0.8331991257	0.3554944009
520	0.8331991257	0.3552700012
521	0.8329690556	0.3552042337
522	0.8330840906	0.3551306965
523	0.8331991257	0.3549933094
524	0.8329690556	0.354883846
525	0.8328540205	0.3547291253
526	0.8330840906	0.3546136233
527	0.8330840906	0.3544946296
528	0.8333141608	0.3543999362
529	0.8334291959	0.3542770985
530	0.8331991257	0.3541957696
531	0.833544231	0.3540376949
532	0.8336592661	0.3539423183
533	0.8338893362	0.3538298485
534	0.8338893362	0.3537511538
535	0.8341194064	0.3536174653
536	0.8341194064	0.353531803
537	0.8341194064	0.3534441057
538	0.8343494766	0.353331136
539	0.8345795468	0.3532536573
540	0.8344645117	0.3531173176
541	0.8344645117	0.3530225103
542	0.8345795468	0.3528100246
543	0.8346945818	0.3526762082
544	0.834924652	0.3524599953
545	0.8351547222	0.352329506
546	0.8350396871	0.3522130907
547	0.8352697573	0.3520688078
548	0.8353847924	0.351927365
549	0.8353847924	0.35183503
550	0.8353847924	0.3516937887
551	0.8354998274	0.3516007035
552	0.8352697573	0.3515202818
553	0.8354998274	0.3514210657
554	0.8359599678	0.3512364525
555	0.8359599678	0.351149966
556	0.8359599678	0.3510664656
557	0.8359599678	0.3509251179
558	0.8358449327	0.3507949049
559	0.8359599678	0.3507074685
560	0.8364201081	0.3505729272
561	0.8365351432	0.3504697897
562	0.8367652134	0.3503236339
563	0.8368802485	0.3502061266
564	0.8367652134	0.3500933094
565	0.8366501783	0.3500191857
566	0.8367652134	0.3498862621
567	0.8366501783	0.3497511572
568	0.8367652134	0.3496615519
569	0.8368802485	0.3495288337
570	0.8368802485	0.3494181363
571	0.8369952836	0.3493317076
572	0.8369952836	0.3492120108
573	0.8371103186	0.349136517
574	0.8372253537	0.3490148591
575	0.8372253537	0.3489277701
576	0.8371103186	0.3487296036
577	0.8373403888	0.3486225241
578	0.8371103186	0.3485068095
579	0.8376854941	0.3483761529
580	0.837570459	0.3482847296
581	0.8379155642	0.3481105931
582	0.8376854941	0.3479890164
583	0.8379155642	0.3478922891
584	0.8378005292	0.3477866969
585	0.837570459	0.3476570963
586	0.837570459	0.3475506868
587	0.8378005292	0.3474308281
588	0.8381456344	0.3472922552
589	0.8378005292	0.3472078007
590	0.8378005292	0.3471277626
591	0.8379155642	0.3470428093
592	0.8379155642	0.3469717165
593	0.8379155642	0.3467813284
594	0.8380305993	0.3467144887
595	0.8380305993	0.3466238577
596	0.8384907397	0.3465384187
597	0.8386057748	0.3464723981
598	0.8384907397	0.3463180826
599	0.8384907397	0.3462296834
600	0.8386057748	0.3460945744
601	0.83895088	0.3459455392
602	0.8390659151	0.3458779522
603	0.83895088	0.3457987127
604	0.8388358449	0.3456129364
605	0.8388358449	0.3454717398
606	0.8388358449	0.3453969891
607	0.83895088	0.3453291624
608	0.8388358449	0.345265099
609	0.83895088	0.3451847009
610	0.8390659151	0.3451099285
611	0.8390659151	0.3450052706
612	0.8391809502	0.3449051272
613	0.8391809502	0.3448446522
614	0.8388358449	0.3447447496
615	0.83895088	0.3446666927
616	0.8392959853	0.3445509763
617	0.8396410905	0.3444386571
618	0.8396410905	0.3443533224
619	0.8399861958	0.3442740386
620	0.840216266	0.3441744213
621	0.8399861958	0.3440494845
622	0.840331301	0.343970606
623	0.840216266	0.3438133649
624	0.840216266	0.3436807953
625	0.840216266	0.343605892
626	0.8404463361	0.3435145103
627	0.8404463361	0.3434498611
628	0.8405613712	0.3433307789
629	0.8405613712	0.3431875405
630	0.8406764063	0.3430928646
631	0.8405613712	0.3430006628
632	0.840331301	0.3428715543
633	0.8404463361	0.3427562692
634	0.840331301	0.3425975733
635	0.840216266	0.3425269403
636	0.840216266	0.3424591201
637	0.840216266	0.3421994282
638	0.8404463361	0.3420350347
639	0.8406764063	0.3419036499
640	0.8406764063	0.3417957103
641	0.8406764063	0.3417004253
642	0.8407914414	0.3415679358
643	0.8407914414	0.3412719666
644	0.8406764063	0.3411570909
645	0.8405613712	0.3410753037
646	0.8409064765	0.3409582119
647	0.8410215116	0.3408729799
648	0.8412515817	0.3406875017
649	0.8412515817	0.3405650603
650	0.8413666168	0.3404650163
651	0.841596687	0.3403459594
652	0.841596687	0.3402708186
653	0.8414816519	0.340201228
654	0.8414816519	0.3400562741
655	0.8414816519	0.339977002
656	0.841596687	0.339808263
657	0.841596687	0.3397523372
658	0.8417117221	0.3396333713
659	0.8417117221	0.3395816557
660	0.841596687	0.3395212812
661	0.841596687	0.3393964889
662	0.841596687	0.3393028212
663	0.8417117221	0.3391818937
664	0.8418267572	0.3390708919
665	0.8420568273	0.3389815497
666	0.8418267572	0.3388742162
667	0.8420568273	0.3387474488
668	0.8420568273	0.3385782622
669	0.8422868975	0.3384693339
670	0.8425169677	0.338412302
671	0.8426320028	0.3381841367
672	0.8426320028	0.338072617
673	0.8427470378	0.3379387782
674	0.842977108	0.3378822773
675	0.8430921431	0.3377812257
676	0.842977108	0.3376766216
677	0.8430921431	0.3375717548
678	0.8430921431	0.3375025709
679	0.8430921431	0.3374157644
680	0.8432071782	0.3373355072
681	0.8432071782	0.3372675795
682	0.8432071782	0.3371810618
683	0.8432071782	0.3370601698
684	0.8430921431	0.3369730507
685	0.8433222133	0.3368832197
686	0.8437823536	0.3367888898
687	0.8438973887	0.3366830375
688	0.8440124238	0.3366283871
689	0.8441274589	0.336524042
690	0.8440124238	0.3364566059
691	0.8440124238	0.3363943046
692	0.8440124238	0.33632809
693	0.8441274589	0.3362318783
694	0.8440124238	0.3361070651
695	0.8440124238	0.33602088
696	0.8441274589	0.3359074294
697	0.8441274589	0.3358528756
698	0.8440124238	0.335776834
699	0.844242494	0.3356585232
700	0.8438973887	0.3355723836
701	0.8438973887	0.3355157406
702	0.8438973887	0.3354110113
703	0.8438973887	0.3352634149
704	0.8441274589	0.3351682948
705	0.844357529	0.3350782446
706	0.844357529	0.3349930189
707	0.844242494	0.3349096232
708	0.844357529	0.3348344362
709	0.844357529	0.3347432245
710	0.844242494	0.3346654923
711	0.844357529	0.3345333213
712	0.844357529	0.3344326152
713	0.8441274589	0.3343489438
714	0.844242494	0.3342838737
715	0.8441274589	0.3341768513
716	0.8441274589	0.3341282842
717	0.8441274589	0.3340360515
718	0.8441274589	0.3339491512
719	0.844242494	0.333883835
720	0.8444725641	0.3338102673
721	0.8444725641	0.3337347531
722	0.844357529	0.3336823044
723	0.844242494	0.3335457067
724	0.8445875992	0.3334738622
725	0.8447026343	0.3333616165
726	0.8445875992	0.3332732398
727	0.8447026343	0.3331758588
728	0.8447026343	0.3330784007
729	0.8447026343	0.3330289227
730	0.8449327045	0.3329178611
731	0.8449327045	0.3328338024
732	0.8451627746	0.3327798533
733	0.8452778097	0.3326681541
734	0.8453928448	0.3325801265
735	0.8455078799	0.3325058363
736	0.8457379501	0.3324182059
737	0.8457379501	0.332367249
738	0.8458529852	0.3322685094
739	0.8458529852	0.3321889934
740	0.8460830553	0.3320174746
741	0.8461980904	0.331892248
742	0.8464281606	0.331814866
743	0.8464281606	0.3316938635
744	0.847003336	0.3316236741
745	0.847003336	0.3315749672
746	0.8468883009	0.3314836099
747	0.8468883009	0.3314020029
748	0.8467732658	0.3313342092
749	0.8468883009	0.3312107279
750	0.8468883009	0.3310931815
751	0.847003336	0.3310366992
752	0.8468883009	0.3309601798
753	0.847003336	0.3308744036
754	0.847003336	0.3308120324
755	0.847003336	0.330735952
756	0.847003336	0.3306338396
757	0.8468883009	0.3305124278
758	0.8468883009	0.3304278153
759	0.8471183711	0.3302840953
760	0.8472334062	0.3302310297
761	0.8472334062	0.3301743805
762	0.8474634764	0.3301235241
763	0.8476935465	0.3299734721
764	0.8475785114	0.3298833731
765	0.8474634764	0.3297393643
766	0.8473484413	0.329682096
767	0.8473484413	0.3295549554
768	0.8474634764	0.3294524338
769	0.8474634764	0.3293610481
770	0.8475785114	0.3292818458
771	0.8475785114	0.3291988971
772	0.8474634764	0.3291287123
773	0.8476935465	0.3290076334
774	0.8476935465	0.3289428561
775	0.8476935465	0.3288861047
776	0.8476935465	0.3287938092
777	0.8476935465	0.3287134741
778	0.8476935465	0.3286554808
779	0.8478085816	0.3286041445
780	0.8480386518	0.3285220615
781	0.848268722	0.3283942598
782	0.848268722	0.3283149968
783	0.848383757	0.3281776218
784	0.8487288623	0.3280753533
785	0.8486138272	0.3279354224
786	0.8486138272	0.3278521381
787	0.8487288623	0.3277699698
788	0.8489589325	0.3276984748
789	0.8489589325	0.3276144242
790	0.8490739676	0.3275532556
791	0.8486138272	0.3274102501
792	0.8489589325	0.3273478611
793	0.8491890026	0.3272936591
794	0.8494190728	0.3272083344
795	0.8493040377	0.3271584002
796	0.8490739676	0.327076475
797	0.8488438974	0.3269764241
798	0.8491890026	0.326909798
799	0.8491890026	0.326835482
800	0.8491890026	0.3267103316
801	0.8490739676	0.326576927
802	0.8490739676	0.326463357
803	0.8490739676	0.3263903967
804	0.8490739676	0.3263199063
805	0.8490739676	0.3262329656
806	0.8490739676	0.3261658068
807	0.8491890026	0.3260640481
808	0.8493040377	0.3259748071
809	0.849649143	0.3258917027
810	0.849649143	0.3258136458
811	0.8495341079	0.3257459643
812	0.8495341079	0.3256485922
813	0.8495341079	0.3255604281
814	0.849649143	0.325462351
815	0.8497641781	0.3253741779
816	0.8495341079	0.3253248051
817	0.8498792132	0.3252073337
818	0.8497641781	0.3251388245
819	0.8499942482	0.325075868
820	0.8497641781	0.3249571823
821	0.8499942482	0.3248540558
822	0.8502243184	0.3247439656
823	0.8503393535	0.3246886149
824	0.8502243184	0.3245751622
825	0.8506844588	0.324441342
826	0.8507994938	0.3243673487
827	0.8506844588	0.324301277
828	0.8507994938	0.324176686
829	0.8507994938	0.324098601
830	0.8507994938	0.3239894161
831	0.8509145289	0.3239300106
832	0.8509145289	0.3238189841
833	0.851029564	0.3237182181
834	0.8511445991	0.3236215451
835	0.851029564	0.3234947307
836	0.8511445991	0.3233890944
837	0.8511445991	0.3233230905
838	0.8512596342	0.3232355556
839	0.8514897044	0.3231561496
840	0.8516047394	0.323080956
841	0.8517197745	0.3229529913
842	0.8519498447	0.3228315375
843	0.8520648798	0.3227168536
844	0.8517197745	0.3226491177
845	0.8517197745	0.3225601066
846	0.8517197745	0.3224647119
847	0.8518348096	0.3224010125
848	0.8519498447	0.3223424268
849	0.8519498447	0.3222912798
850	0.8517197745	0.3222041613
851	0.85229495	0.3221346124
852	0.8521799149	0.3220172211
853	0.8519498447	0.3219298848
854	0.8518348096	0.3218734436
855	0.8520648798	0.3218190449
856	0.8521799149	0.3217417739
857	0.8525250201	0.3216655474
858	0.8526400552	0.3216022792
859	0.8526400552	0.3215313355
860	0.8528701254	0.3214722133
861	0.8526400552	0.3213960527
862	0.8527550903	0.3212846898
863	0.8527550903	0.3212023525
864	0.8526400552	0.3210755056
865	0.8532152306	0.3209715846
866	0.8532152306	0.3209251392
867	0.8531001956	0.3208373652
868	0.8533302657	0.3207795319
869	0.8534453008	0.3206828748
870	0.8533302657	0.3205663871
871	0.8532152306	0.3205262829
872	0.8532152306	0.3204868334
873	0.8532152306	0.3204210377
874	0.8531001956	0.3203631427
875	0.8532152306	0.3203176314
876	0.8532152306	0.3202287597
877	0.8533302657	0.320187132
878	0.8535603359	0.3200503887
879	0.8534453008	0.319944895
880	0.8532152306	0.3198328078
881	0.8531001956	0.3197060623
882	0.8531001956	0.3196154776
883	0.8529851605	0.319575332
884	0.8531001956	0.3195178174
885	0.8533302657	0.3194262239
